,car_num,x_position,y_position
0,dakeche.62,80.07727591671296,-1.6
1,dakeche.63,33.03787564247614,-1.6
2,dakeche.64,12.120622092764824,-1.6
3,daxinghuoche.58,87.89244520167122,-11.2
4,daxinghuoche.59,31.962908752332446,-11.2
5,daxinghuoche.60,13.100000000000001,-11.2
6,tedaxinghuoche.40,60.79372162460348,-14.4
7,tedaxinghuoche.41,16.82471263507614,-14.4
8,xiaokeche.37,31.325406069451482,-14.4
9,xiaoxinghuoche.78,72.71113334891852,-4.8
10,xiaoxinghuoche.79,35.860159540746835,-4.8
11,xiaoxinghuoche.80,12.16306417498272,-4.8
12,zhongxinghuoche.93,79.43780911059585,-8.0
13,zhongxinghuoche.94,37.30162847162072,-8.0
14,zhongxinghuoche.95,11.054792877449653,-8.0
