,car_num,x_position,y_position
0,dakeche.80,96.79802813989811,-1.6
1,dakeche.81,48.03412654538595,-1.6
2,dakeche.82,17.335134953795933,-1.6
3,daxinghuoche.75,37.512811119644894,-11.2
4,daxinghuoche.76,13.949071827926673,-11.2
5,tedaxinghuoche.51,87.84240899665745,-14.4
6,tedaxinghuoche.52,21.5045034814626,-14.4
7,xiaokeche.47,55.63981933807515,-14.4
8,xiaoxinghuoche.101,52.02616162310106,-4.8
9,xiaoxinghuoche.102,20.182900864735714,-4.8
10,xiaoxinghuoche.103,6.503868968957882,-4.8
11,zhongxinghuoche.120,66.08732155025936,-8.0
12,zhongxinghuoche.121,21.395668881270105,-8.0
