,car_num,x_position,y_position
0,dakeche.3,54.332815681304794,-1.6
1,dakeche.4,21.842513441271148,-1.6
2,daxinghuoche.3,56.056969020923134,-11.2
3,daxinghuoche.4,19.04686828956474,-11.2
4,tedaxinghuoche.1,97.46028443031247,-14.4
5,tedaxinghuoche.2,26.080932837678116,-14.4
6,xiaokeche.2,63.96486522065543,-14.4
7,xiaokeche.3,4.1,-14.4
8,xiaoxinghuoche.3,81.65537036751631,-4.8
9,xiaoxinghuoche.4,41.68591825752519,-4.8
10,xiaoxinghuoche.5,15.631011476266588,-4.8
11,xiaoxinghuoche.6,6.1,-4.8
12,zhongxinghuoche.5,63.42039530389012,-8.0
13,zhongxinghuoche.6,27.14430253680825,-8.0
14,zhongxinghuoche.7,9.7,-8.0
