,car_num,x_position,y_position
0,dakeche.10,88.25368105567128,-1.6
1,dakeche.11,35.652061635011336,-1.6
2,dakeche.12,11.880335812957492,-1.6
3,daxinghuoche.10,43.669519729597965,-11.2
4,daxinghuoche.11,16.027397981460673,-11.2
5,tedaxinghuoche.6,59.35044958355138,-14.4
6,tedaxinghuoche.7,17.183661334507633,-14.4
7,xiaokeche.7,30.64399224047747,-14.4
8,xiaoxinghuoche.12,96.99480644946452,-4.8
9,xiaoxinghuoche.13,45.91560990668367,-4.8
10,xiaoxinghuoche.14,18.613637990435116,-4.8
11,xiaoxinghuoche.15,6.1,-4.8
12,zhongxinghuoche.16,80.94755368915254,-8.0
13,zhongxinghuoche.17,39.457563150722656,-8.0
14,zhongxinghuoche.18,12.043005659873597,-8.0
