,car_num,x_position,y_position
0,dakeche.72,78.4569143952569,-1.6
1,dakeche.73,27.967019674461334,-1.6
2,dakeche.74,11.1,-1.6
3,daxinghuoche.67,64.73785082693213,-11.2
4,daxinghuoche.68,22.36687997381168,-11.2
5,tedaxinghuoche.46,50.37343869400212,-14.4
6,xiaokeche.43,20.979449981683864,-14.4
7,xiaoxinghuoche.90,84.34626406218095,-4.8
8,xiaoxinghuoche.91,35.518850732484744,-4.8
9,xiaoxinghuoche.92,12.615251919080036,-4.8
10,zhongxinghuoche.108,52.827715170010926,-8.0
11,zhongxinghuoche.109,21.268901181872934,-8.0
