,car_num,x_position,y_position
0,dakeche.167,74.75155143237207,-1.6
1,dakeche.168,32.1481279146974,-1.6
2,dakeche.169,12.266804805584252,-1.6
3,daxinghuoche.155,90.6961561751103,-11.2
4,daxinghuoche.156,40.60634575439617,-11.2
5,daxinghuoche.157,13.975198931538033,-11.2
6,tedaxinghuoche.108,36.56528874868527,-14.4
7,xiaokeche.98,97.43418846365626,-14.4
8,xiaokeche.99,10.82675858186558,-14.4
9,xiaoxinghuoche.208,74.32058073579105,-4.8
10,xiaoxinghuoche.209,33.783501782384704,-4.8
11,xiaoxinghuoche.210,11.457598192815205,-4.8
12,zhongxinghuoche.248,68.84751955992645,-8.0
13,zhongxinghuoche.249,29.723192098364237,-8.0
14,zhongxinghuoche.250,9.7,-8.0
