,car_num,x_position,y_position
0,dakeche.182,72.78275256038178,-1.6
1,dakeche.183,27.45198050161125,-1.6
2,dakeche.184,11.1,-1.6
3,daxinghuoche.169,79.98570092986337,-11.2
4,daxinghuoche.170,30.072701146255714,-11.2
5,daxinghuoche.171,13.100000000000001,-11.2
6,tedaxinghuoche.117,96.43906419784761,-14.4
7,tedaxinghuoche.118,25.216875008377247,-14.4
8,xiaokeche.107,64.34205314645668,-14.4
9,xiaokeche.108,4.1,-14.4
10,xiaoxinghuoche.226,89.38255509824958,-4.8
11,xiaoxinghuoche.227,43.762278945464644,-4.8
12,xiaoxinghuoche.228,15.264811259054115,-4.8
13,xiaoxinghuoche.229,6.1,-4.8
14,zhongxinghuoche.271,53.895248532225374,-8.0
15,zhongxinghuoche.272,19.81603528729644,-8.0
