,car_num,x_position,y_position
0,dakeche.149,93.42834954551655,-1.6
1,dakeche.150,44.980134107936905,-1.6
2,dakeche.151,13.641627356118988,-1.6
3,daxinghuoche.139,44.07308036346628,-11.2
4,daxinghuoche.140,16.255721996200737,-11.2
5,tedaxinghuoche.96,69.32958321433979,-14.4
6,tedaxinghuoche.97,19.23554623408709,-14.4
7,xiaokeche.88,40.00063004409557,-14.4
8,xiaoxinghuoche.186,56.40287715868325,-4.8
9,xiaoxinghuoche.187,24.19865118643921,-4.8
10,xiaoxinghuoche.188,7.078585359349381,-4.8
11,zhongxinghuoche.221,67.04899821130094,-8.0
12,zhongxinghuoche.222,19.97429019054398,-8.0
