,car_num,x_position,y_position
0,dakeche.219,46.402328702469816,-1.6
1,dakeche.220,17.949675081542228,-1.6
2,daxinghuoche.202,72.4712712173816,-11.2
3,daxinghuoche.203,29.68391142468899,-11.2
4,daxinghuoche.204,13.100000000000001,-11.2
5,tedaxinghuoche.141,65.31728768142638,-14.4
6,tedaxinghuoche.142,16.85329409366241,-14.4
7,xiaokeche.128,35.33148996367634,-14.4
8,xiaoxinghuoche.270,75.16845023838104,-4.8
9,xiaoxinghuoche.271,39.08315965828887,-4.8
10,xiaoxinghuoche.272,11.592405999870971,-4.8
11,zhongxinghuoche.323,61.0201873678714,-8.0
12,zhongxinghuoche.324,20.00677331117913,-8.0
