,car_num,x_position,y_position
0,dakeche.69,63.50771939801053,-1.6
1,dakeche.70,27.292293408093975,-1.6
2,dakeche.71,11.1,-1.6
3,daxinghuoche.64,87.8833744945936,-11.2
4,daxinghuoche.65,32.563233087048864,-11.2
5,daxinghuoche.66,13.100000000000001,-11.2
6,tedaxinghuoche.44,63.90846413701075,-14.4
7,tedaxinghuoche.45,17.33293042050209,-14.4
8,xiaokeche.41,35.21844369643374,-14.4
9,xiaoxinghuoche.87,47.50192929743789,-4.8
10,xiaoxinghuoche.88,18.35954282952512,-4.8
11,xiaoxinghuoche.89,6.1,-4.8
12,zhongxinghuoche.103,91.19333225279115,-8.0
13,zhongxinghuoche.104,40.966034804005176,-8.0
14,zhongxinghuoche.105,15.081987076790435,-8.0
