,car_num,x_position,y_position
0,dakeche.134,63.259896221221425,-1.6
1,dakeche.135,22.145842160727298,-1.6
2,daxinghuoche.124,77.76294949498259,-11.2
3,daxinghuoche.125,27.755035467899862,-11.2
4,tedaxinghuoche.86,91.44740661156831,-14.4
5,tedaxinghuoche.87,27.751383488043217,-14.4
6,xiaokeche.79,59.979497539757745,-14.4
7,xiaokeche.80,4.485529947394272,-14.4
8,xiaoxinghuoche.167,64.6341846078335,-4.8
9,xiaoxinghuoche.168,27.269390075458126,-4.8
10,xiaoxinghuoche.169,9.780428564932663,-4.8
11,zhongxinghuoche.199,70.91082009719685,-8.0
12,zhongxinghuoche.200,26.15630635819398,-8.0
13,zhongxinghuoche.201,9.7,-8.0
